"","Destination","Origin","originLat","originLong","destLat","destLong","midpointX","midpointY","MeanRating","MeanPercent","MaxRating","MaxPercent","MinRating","TotalN"
"46","Belgium","Peru",-9.189967,-75.015152,50.503887,4.469936,-69.9715615098269,0.39903548204386,3.08333333333333,74.6666666666667,3.5,85,2.75,3
"47","Belgium","Sao Tome",-0.006949,6.522309,50.503887,4.469936,4.65073203290378,6.32093697335323,2.75,75,2.75,75,2.75,1
"48","Belgium","Trinidad",10.536421,-61.311951,50.503887,4.469936,-56.3236974759353,18.9395541786997,3.5,71,3.75,75,3.25,2
"49","Belgium","Venezuela",6.42375,-66.58973,50.503887,4.469936,-61.4409132180919,15.165122062476,3.4,73.2,4,75,3,5
"50","Belgium","Vietnam",14.058324,108.277199,50.503887,4.469936,99.4750116192177,22.8866146522457,3,80,3,80,3,1
"51","Canada","Belize",17.189877,-88.49765,56.130366,-106.346771,-92.2910857861705,23.5283967572228,2.91666666666667,70,3,74,2.75,3
"52","Canada","Bolivia",-16.290154,-63.588653,56.130366,-106.346771,-69.5690116776655,-7.64929138127489,3.16666666666667,70.8333333333333,3.5,73,2.75,6
"53","Canada","Brazil",-14.235004,-51.92528,56.130366,-106.346771,-58.7868349538442,-5.36659875367322,3.16666666666667,73.3333333333333,3.5,80,3,3
"54","Canada","Colombia",4.570868,-74.297333,56.130366,-106.346771,-79.493921392678,12.0136006906928,3.25,70,3.25,70,3.25,2
"55","Canada","Dominican Republic",18.735693,-70.162651,56.130366,-106.346771,-75.7959388157699,25.5816567591059,3.35714285714286,71.0714285714286,3.75,77,2.75,14
"56","Canada","Ecuador",-1.831239,-78.183406,56.130366,-106.346771,-82.9680738605487,5.78879107636453,3.28125,77.25,3.75,100,2.75,8
"57","Canada","Ghana",7.946527,-1.023194,56.130366,-106.346771,-10.173587076011,17.272632561141,3.5,70,3.5,70,3.5,1
"58","Canada","Grenada",12.262776,-61.604171,56.130366,-106.346771,-67.8703532482369,19.7064772877163,2.75,70,2.75,70,2.75,1
"59","Canada","Guatemala",15.783471,-90.230759,56.130366,-106.346771,-93.8040505641575,22.1386262941369,3.125,71.5,3.5,73,2.75,4
"60","Canada","Haiti",18.971187,-72.285215,56.130366,-106.346771,-77.7460392144516,25.7378190665711,3.25,71.5,3.25,73,3.25,2
"61","Canada","Indonesia",-0.789275,113.921327,56.130366,-106.346771,101.566647219633,11.5274349307858,3.25,70,3.25,70,3.25,1
"62","Canada","Jamaica",18.109581,-77.297508,56.130366,-106.346771,-82.307602483029,24.7664697659222,4,70,4,70,4,1
"63","Canada","Madagascar",-18.766947,46.869107,56.130366,-106.346771,35.7512808976692,-7.39798470363008,3.52777777777778,73.7777777777778,3.75,100,3,9
"64","Canada","Mexico",23.634501,-102.552784,56.130366,-106.346771,-104.420732561857,29.0220395691244,2.9375,70,3.25,75,2.5,4
"65","Canada","Nicaragua",12.865416,-85.207229,56.130366,-106.346771,-89.3542022854721,19.5508024132735,3.25,70.4,3.75,72,2.75,5
"66","Canada","Papua New Guinea",-6.314993,143.95555,56.130366,-106.346771,130.839495819784,6.76335699702101,3.25,75,3.5,85,2.75,5
"67","Canada","Peru",-9.189967,-75.015152,56.130366,-106.346771,-80.0571091842089,-1.1569289411561,3.5,68.3333333333333,4,70,2.75,6
"68","Canada","Tanzania",-6.369028,34.888822,56.130366,-106.346771,24.332844335931,4.34520614136037,3.25,74.25,3.5,80,2.5,4
"69","Canada","Trinidad",10.536421,-61.311951,56.130366,-106.346771,-67.5977245296526,18.0736937447706,3.58333333333333,70,3.75,70,3.25,3
"70","Canada","Uganda",1.373333,32.290275,56.130366,-106.346771,21.9712603468614,11.7744352743055,2.75,70,2.75,70,2.75,1
"71","Canada","Vanuatu",-15.376706,166.959158,56.130366,-106.346771,153.177082053318,-1.62940291189765,3.75,70,3.75,70,3.75,1
"72","Canada","Venezuela",6.42375,-66.58973,56.130366,-106.346771,-72.4634197736696,14.0055874401156,3.48214285714286,71.4285714285714,4,80,2.5,14
"73","Canada","Vietnam",14.058324,108.277199,56.130366,-106.346771,96.4519886553147,25.8496683110375,3.75,70.6666666666667,4,72,3.5,3
"74","Chile","Peru",-9.189967,-75.015152,-35.675147,-71.542969,-73.2659038704517,-6.02366454153398,3.75,70,3.75,70,3.75,2
